Month,Date,Orig_VMT,Adj_VMT
Jun,13-Jun,"259,980","249,479"
Jul,13-Jul,"263,946","247,549"
Aug,13-Aug,"268,061","250,689"
Sep,13-Sep,"242,536","249,690"
Oct,13-Oct,"258,748","249,495"
Nov,13-Nov,"240,055","250,221"
Dec,13-Dec,"241,237","247,373"
Jan,14-Jan,"226,413","245,698"
Feb,14-Feb,"213,949","247,336"
Mar,14-Mar,"253,424","250,619"
Apr,14-Apr,"256,736","251,687"
May,14-May,"266,237","252,402"
Jun,14-Jun,"263,459","252,231"
Jul,14-Jul,"270,053","252,409"
Aug,14-Aug,"268,831","252,977"
Sep,14-Sep,"247,688","253,849"
Oct,14-Oct,"265,144","254,900"
Nov,14-Nov,"241,451","253,286"
Dec,14-Dec,"252,271","257,603"
Jan,15-Jan,"233,498","254,574"
Feb,15-Feb,"217,220","250,891"
Mar,15-Mar,"258,017","254,422"
Apr,15-Apr,"262,817","256,901"
May,15-May,"270,839","258,466"
Jun,15-Jun,"270,574","257,966"
Jul,15-Jul,"278,372","259,287"
Aug,15-Aug,"272,209","259,294"
Sep,15-Sep,"255,090","259,396"
Oct,15-Oct,"268,469","259,414"
Nov,15-Nov,"248,843","259,184"
Dec,15-Dec,"259,424","264,723"
Jan,16-Jan,"236,480","259,817"
Feb,16-Feb,"229,039","263,009"
Mar,16-Mar,"269,709","264,062"
Apr,16-Apr,"268,383","262,733"
May,16-May,"275,288","262,932"
Jun,16-Jun,"277,496","264,062"
Jul,16-Jul,"281,374","264,908"
Aug,16-Aug,"279,418","263,981"
Sep,16-Sep,"261,756","265,136"
Oct,16-Oct,"271,711","265,833"
Nov,16-Nov,"258,590","266,846"
Dec,16-Dec,"259,960","265,482"
Jan,17-Jan,"242,124","265,936"
Feb,17-Feb,"233,075","266,837"
Mar,17-Mar,"271,878","265,416"
Apr,17-Apr,"271,675","268,219"
May,17-May,"281,206","267,187"
Jun,17-Jun,"280,972","266,858"
Jul,17-Jul,"283,518","268,074"
Aug,17-Aug,"283,365","267,389"
Sep,17-Sep,"262,525","267,514"
Oct,17-Oct,"275,004","268,108"
Nov,17-Nov,"261,390","269,153"
Dec,17-Dec,"261,785","269,033"
